submission_id,respondent-id,time,rating,free_text,do_better,pcn,surgery,campaing_id,logic,campaign_rating,campaign_freetext
Bg0zJ1,x09OAo,2024-08-14 12:24:32,Very good,Did not have to wait long for an appointment nor did I have to wait at the surgery to see the doctor,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Ogk7vA,eNKqkE,2024-08-14 13:20:39,Very good,Because the service you offer is very good i am happy with it 💐,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xovYar,l0KaqX,2024-08-14 13:23:26,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ayvdD9,gQYbMD,2024-08-14 13:24:52,Very good,"Welcoming
No waiting time
Thorough ",Perfect,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MgMApY,dZKNjV,2024-08-14 13:56:10,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
XgzYqV,8JALro,2024-08-14 14:28:04,Very good,"Receptionists Always tries to be professional with courtesy and respectful.
The Doctors always takes time with the mentally & physically disabled patients as myself & family members…. 
",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EgMePA,61AO05,2024-08-14 17:00:03,Very good,Dr Kamvari is an amazing doctor and always understands my issues without ignoring or assuming it's something it's not or brushing me off.,"Not finding it so hard to get an appointment.
But good doctors are hard to come by so I understand. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
gpvPAl,ajNlpW,2024-08-14 17:21:23,Very good,Excellent ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
opv84e,8JoLBx,2024-08-14 17:38:56,Very good,"Because they are professional and helpful az always. 
",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ayvqG2,v0EqOv,2024-08-14 17:42:53,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4qzb8b,P2vvjb,2024-08-14 17:52:40,Very good,Service is very good,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
8WM0Jx,1bDRKg,2024-08-14 19:04:43,Very good,Seen in time. Nurse had excellent manner. Very reassuring. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vdxa8a,V9by0J,2024-08-15 13:15:30,Very good,I always feel heard and well taken care of at Kensington Park Medical Center. It’s easy to get time ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JgG61z,o05XgN,2024-08-15 16:58:18,Very good,"KPMC is the best.  Nicest GP’s , friendly receptionists and slash’s on the top of their game.  They are my very favorite doctors ❤️",No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NggPBG,1bp02b,2024-08-16 07:01:36,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
epplyE,eNYXvO,2024-08-16 08:10:21,Very good,Would take too long 💯,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EggO1X,61poGo,2024-08-16 09:40:15,Very good,"On time, very pleasant lady , efficient and fast ",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
vppk8v,7JpB52,2024-08-16 10:38:03,Very good,Never had a bad experience so far. I am very happy with your services. I just wish that there was a Saturday morning surgery as it is very hard for me to come during my working hours.,Saturday morning consultations ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DYy2Lb,ajNlpW,2024-08-16 11:28:52,Very good,Excellent treatment ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xoBxOJ,k0vbKZ,2024-08-16 11:29:11,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bDGZ77,Go56Lo,2024-08-16 11:42:51,Very good,"Called 111 last night, received 2 calls from surgery before 10am.. ",Me not feeling poorly ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NgyJAW,y0zye4,2024-08-16 14:08:43,Very good,"Very good doctors, reception person and nice people working.",Nice hospitality ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ayol4B,Yokoaq,2024-08-16 15:37:46,Very good,"I didn’t have
 To wait long and dr
 Shona Robertson was good direct and very pleasant and helpful thank youl",Just keep appointments within the two week period ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OgyZ6k,z0LL7a,2024-08-16 17:05:55,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
gpryl4,p0v6P8,2024-08-16 19:28:04,Very good,"I registered for an emergency call with the GP around 1:30 and mananged to secure a telephone consultation for 3:50 this was immediately followed by survey form to complete with diagnosis which I completed within minutes and set my alarm for 3:50 and dowloaded photos with my symptoms, and literally 5 mins later I got a call from dr kamavari who prescribed me with medication. Wonderful service and if NHS can appoint Gp,s like Dr kamavari all NHS problems will be resolved. Dr Kamavari and team run and amazing practice! Thank you 🙏 ",Amazing team I would give them 10/10 ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
gp8NYl,KPglPD,2024-08-19 11:53:33,Very good,The receptionist is so nice same as dr pamphrey very sweet and professional ,"If you can make appointment same as before 
Thanks",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4qlN6A,dZpx4q,2024-08-19 11:56:28,Very good,A doctor called me within 30 minutes and provided the help I needed. I could not ask for more! ,"No, it worked very well. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4qVjWB,12E7Ll,2024-08-19 16:56:18,Very good,Thanks ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bDQ8B6,r0pXqo,2024-08-19 17:21:27,Very good,Dr Bhatt was very thorough and attentive and very helpful.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
dpe24K,619oDo,2024-08-19 17:27:43,Very good,Everyone is helpful and kind ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zO6J6a,r0WYAl,2024-08-20 00:22:35,Very good,"No need to go to reception if I already booked cos check in a machine, very quick. Dr. was good, she listened and good communication to me. ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
epVjvk,r0bBDp,2024-08-20 17:19:31,Very good,"The GP I saw was magnificent!! in the short allotted time, she covered many of my health problems, & treating them along the way!  Whilst I initially only went in to discuss two!! ","Whilst I appreciate how busy & many patients are always need to be seen. 

I would very much like to be seen ON TiME! As most visits usually run 20-30 mins over this! ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
vplZbd,o0aMG5,2024-08-20 18:18:22,Very good,All staff are very accommodating.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
A0ZO1N,ZGXR6z,2024-08-21 10:29:40,Very good,Great Dr ,Thank you,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4q5R45,r0RrKv,2024-08-21 10:30:13,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MgB4lg,96Po9E,2024-08-21 11:20:36,Very good,"Very friendly Doctor, and takes time to explain the medical terms and all that ",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Ogvvj8,JVbMao,2024-08-21 11:42:54,Very good,"Dr Kanvary is always a good listener, he gives the right advice and kind ",availability,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OgvOyp,YoX92v,2024-08-21 11:51:19,Very good,Appointment on time.  Expert solution to problem.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PgV19P,41RD7A,2024-08-21 12:45:04,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OgOogK,V9Xk1E,2024-08-21 14:46:39,Very good,Excellent service very professional,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WgvYVe,x07zp5,2024-08-21 19:55:24,Very good,"Doctor on time, sensible, efficient. Reception helpful and polite.","No, it was good thank you.",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4dX4rA,x0b6OJ,2024-08-22 10:55:39,Very good,Organised staff..no delays with swift action and attention plus a helpful wll informed doctor,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Zy5DYB,410eBX,2024-08-22 13:59:37,Very good,Good knowledge and experience of the GP,Being seen closer to my appointment time,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Wd9xNP,V9W5AJ,2024-08-22 16:20:19,Very good,Every time I recieved very good service specially two guys on the reception very polite and always happy to help thank you all for  your wonderful service ,Keep doing you wonderful work,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
85NV5Y,x05PPJ,2024-08-23 09:01:16,Very good,So helpful and caring ,None,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Yyj7lJ,z0500R,2024-08-23 09:42:41,Very good,"The people on the front desk are so helpful! Best service I’ve ever had - they’re patient, kind and helpful",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
05d1BQ,o0LqPx,2024-08-23 14:12:34,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
A58ZPz,o7xZDP,2024-08-27 13:14:33,Good,precooked appointment on time.immediate blood test appointment.reception extremely efficient and caring.a good experience.,maybe getting appointments made easy than queuing at 8am especially in winter?,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZyRoja,E8kl5l,2024-08-28 11:56:04,Very good,"Courteous , professional and efficient service",No concerns ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zv0yjg,vqGZXQ,2024-08-28 17:04:07,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xB0Mrk,YV56Pd,2024-08-28 17:04:11,Very good,Really happy with the service provided ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MyrzoX,zWxlb8,2024-08-28 17:40:15,Very good,"It was easy to make the appointment. The doctor was the one I wanted. She was thorough, extremely helpful and has a lovely bedside manner. Also very knowledgeable. ",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
A56DVe,O8QD18,2024-08-28 18:29:32,Very good,I did not have to wait the nurse called me straight away. She took time to listen and did the fibrulation test. She was very nice and caring.,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zv0vd0,E8qXxo,2024-08-28 20:25:33,Very good,"Dr India Pumphrey was very caring, friendly. ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
dVKxND,kOlEoj,2024-08-29 10:19:25,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
558VOZ,vqGZXQ,2024-08-29 12:25:22,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
j25Ea1,5Eb82v,2024-08-29 12:28:48,Very good,Quick and polite,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
oQKgR5,O8abDg,2024-08-29 12:36:15,Very good,"The doctors are brilliant, even detected my colon cancer and saved my life.",Not a thing,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
B5A6bQ,Q81zVp,2024-08-29 12:38:10,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
grJ4o1,6rLb2J,2024-08-29 16:36:08,Very good,Very good ,No all good ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
grJQLN,2OBj1M,2024-08-29 17:12:37,Very good, get same day appointment . good doctors,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
RlbvVd,R8ddxP,2024-08-29 17:31:38,Very good,Very Attentive!  Always someone to take care and listen.  Very quick action taken.,Appointment booking system a bit better in terms of telephonic wait is very long! B the message about measles needs to be take off.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Qykgzk,GY9EkL,2024-08-30 14:32:28,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
lZzWo6,kOlEoj,2024-08-30 16:56:59,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
KyGAvg,kOlEoj,2024-08-30 19:40:08,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
55ogGZ,P8A6Zd,2024-09-02 14:12:42,Very poor,"Generally the service form the center is really poor and look like the professionals doesn’t make any effort to do a better work.
The pharmacy is a vais when requesting medication, the doctor are always late and not emphatic at all and the doctor who attended me today was totally awful. ","Really look into the mess you have inside and you might be aware not one is happy with your services, even goodle rewirs are terrible. Give a better training to your people and make better the admins ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
grXRJd,ZPdPDV,2024-09-02 15:39:20,Very good,Very fast and easy experience ,Nothing. All good. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
B5YGW1,k77e8Z,2024-09-02 17:13:21,Very good,Excellent doctor plus nice and helpful receptionist. ,Nope ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OyZEXp,vqN5bv,2024-09-02 18:08:14,Very good,"The Doctors are always professional with patients who has mental & physical problems and Reception is helpful even thought some times one cannot always get an appointment with Doctors, they are courteous and polite ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Nyxvlp,yelOaW,2024-09-02 18:44:24,Very good,Professional and thorough.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VyagW6,VolLBj,2024-09-02 19:45:04,Very good,Because they care about everything all the time God bless them from a to z thanks for all the family team 🙏 God's blessings ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EYV9gl,2OkR0b,2024-09-03 01:30:25,Poor,Don’t get enough time from the GP to discuss my concern. Only one was heard and others to be discussed at another time:),Listen the patient concern (medical).,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
aopWRb,EBkg9l,2024-09-03 06:48:38,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
oQj6zN,0oPRjP,2024-09-03 11:58:39,Very good,Always quickly get an appointment and doctors are knowledgeable and supportive.,Slightly more modern and cleaner furniture in the waiting area.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DyG26R,ZPJree,2024-09-03 12:00:12,Very good,Amazing GP and a good receptionist ,Nop,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
kxPd4Z,N80ZXj,2024-09-03 12:06:09,Good,"Surgery is large, clean and modern. Reception staff efficient and polite. Consultation with Dr was friendly and professional, taking a personal interest in the well being of the patient.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DyGq6X,8jellO,2024-09-03 12:12:21,Very good,As usual very good service ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4dbvzY,GYLvZj,2024-09-03 13:24:31,Very good,"Friendly approach when dealing with reception , doctor was professional and helpful, overall great service.",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MyxGdY,olo221,2024-09-03 14:19:45,Very good,Got a quick response ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Vye8ll,VoVd7N,2024-09-03 17:20:50,Very good,Very nice doctor and very thorough exploration ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EYy8br,XOB424,2024-09-04 17:24:03,Very good,"Very kind, understanding staff. Calm environment. No one was more svhsilsve  rushing you. ",More available appointment ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
lZJvKB,D0vNNR,2024-09-04 17:53:13,Very good,I was helped.,No. ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
byVVWE,2ObdRg,2024-09-05 11:47:47,Very good,I felt at ease with my Doctor today.Dr Humphries,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZK52xo,vqN5bv,2024-09-05 12:41:18,Very good,Our professional Doctors & Nurses tries extremely hard to heal and help some of us who is with mental & physical illness ,Trying to get to see Doctors without long awaited appointments would be helpful for patients ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AGzOJy,O8b45R,2024-09-06 14:22:16,Very good,Very good ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WB2kDj,Mdb648,2024-09-06 14:23:34,Very good,In time and kind service.,Everything great.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EEKGQX,8JoLBx,2024-09-06 14:36:55,Very good,Because they are best. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
XkLaDg,Q8z5pG,2024-09-06 15:16:45,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
8yz1VP,8j68A5,2024-09-06 16:29:14,Very good,"Brilliant friendly efficient reception staff. 
And Doctor Kamvari charming professional kind and efficient ",A good service all in all ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
9yXQyY,vqJqRl,2024-09-06 17:28:38,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
1ykKzM,O8boEA,2024-09-06 18:06:37,Very good,Ifeel comfortable at all time,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WBEQLR,zW1Zg0,2024-09-07 09:22:24,Very good,Professional services from receptionists being polite and extremely helpful to the nurses and doctors. ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
1yd5aQ,XO2YVd,2024-09-07 09:53:08,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
O9zyJA,P8PLV1,2024-09-09 13:45:29,Very good,Because Dr Shona Rebeston ver helpful ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
AGdY9e,ZPJree,2024-09-09 14:15:03,Very good,Great GP,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x1pbXk,olx8Jx,2024-09-09 14:18:34,Very good,"All efficient and on time. Friendly, helpful staff. ",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x1dYZE,AWaz0W,2024-09-09 16:54:30,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
qMbWo7,ZPWal5,2024-09-09 17:57:15,Very good,Dr Kamvari is amazing! ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
1yrRrb,4PELBr,2024-09-09 19:18:16,Very good,The staff are warm and very patient ,"No, the place is welcoming and my appointment was punctual. Attention is kind and Dr Pumphrey is outstanding in her knowledge and the recommendations she has given. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
6yR4aA,1G5r1l,2024-09-10 15:05:37,Very good,Dr comvary understands my problems and advises was helpful thank you,👌👌,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
WBPgEN,1G5r1l,2024-09-10 15:06:36,Very good,Perfect gp and well knowledgeable ,🙏🙏,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PeYeAQ,K8yb9X,2024-09-10 20:38:20,Very good,Very unexpectedly I got a cancellation at the last minute ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NQBA2W,vOq6WD,2024-09-11 09:46:48,Very good,"Git information i needed.quick appointment.
Doctor extremery helpful and approachable",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Yvzevz,x9Lr59,2024-09-11 11:51:11,Very good,Very professsional and direct approach to the medical issue.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
p1P98y,e9jQRk,2024-09-11 12:10:07,Very good,Always you are there for us I am so pleased with your service for the last 37 years thank ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
6yAX5k,2OY8P9,2024-09-12 07:20:02,Very good,"I am incredibly grateful for the exceptional care and professionalism demonstrated by the entire team at Kensington Park. The doctors' expertise, the staff's kindness, and the seamless coordination made my experience outstanding. 
Thank you for your dedication to patient care and for creating a welcoming and supportive environment.",Thank you very much.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
agAdXZ,V9EPPg,2024-09-12 08:49:08,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
el0gyq,N8xbkQ,2024-09-12 12:18:05,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NQb19Q,1GYpOO,2024-09-12 12:25:51,Very good,They are so good and helpful and easygoing ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
r1kQXo,qjQLbg,2024-09-12 17:00:26,Very good,Because the doctor reacted very quickly to my problem.,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
jYzGeR,B8JKde,2024-09-13 08:11:51,Very good,Engaged doctors ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4yGDKO,Q8NPRG,2024-09-13 16:02:29,Very good,I have been a patient at this surgery for over 2 decades. I am happy with service they provide especially Dr Kamvari as he is an exceptional doctor. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Yvqb4N,r28xkM,2024-09-13 16:17:55,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
o1xqJ5,ZPr94y,2024-09-13 17:14:09,Very good,"Dr Kamvari is always very patient, friendly and effective in diagnosis and treatment ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zobaeZ,YVl0Q5,2024-09-13 17:43:44,Very good,Help me ,Yeah ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zobpaE,x95D2r,2024-09-13 17:58:34,Very good,Dr.kamvari is excellent ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
zogXLE,vq5Dvg,2024-09-13 18:03:29,Very good,Because my GP Dr.Nahlia is just fantastic…,Everything was fine…,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
JxGLaR,rrlo4L,2024-09-13 20:12:48,Very good,Dr is very friendly and professional ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
7zeZ2L,8pZEAl,2024-09-14 06:10:22,Good,Doctors are extremely helpful ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
o1aBaN,O82RDA,2024-09-15 12:28:21,Very poor,Very confused GP analysis done.,Improve  your GP service.,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
d1oYJK,gWBAdO,2024-09-16 08:11:03,Very good,"This has been my Gp for more than 15 years 
So can't complain ",No ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
0yY0vj,R8Og5v,2024-09-16 11:19:47,Very good,"Dr Oyefeso was brilliant with my two boys, he addressed my concerns and I left feeling satisfied.",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
YvbBoB,P8ogAx,2024-09-16 11:20:24,Very good,"Prompt service, generally excellant",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4yY0pO,R8Og5v,2024-09-16 11:21:12,Very good,Dr Oyefeso was brilliant! He made my son who is usually very nervous around doctors feel at home. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
r1Q9WL,R8Og5v,2024-09-16 11:22:17,Very good,Dr Nalliah took her time to address all my concerns and made sure I understood the next steps moving forward. Really please with my interaction. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x18JA5,gW2vol,2024-09-16 19:05:46,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
yR8eP6,O8veWM,2024-09-16 20:43:09,Very good,"I got the GP for today  this morning when I called the reception.

I saw Dr Nalia today. She is experienced and caring. She even called me when I left the surgery to offer further help.
Thank you kindly ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
BlRQZe,r28xkM,2024-09-17 11:41:41,Very good,Efficient and polite ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
4ybbGB,r28xkM,2024-09-17 14:03:59,Very good,Caring efficient and knowledgeable ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
x1q5Ok,E84VgN,2024-09-17 18:12:20,Very good,"Lovely doctor, very thorough and also explained symptoms well.  Excellent ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
9yVv8X,4AXKvA,2024-09-18 09:22:01,Very good,Very helpful and supporting advises and conversation  ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
o1WjvP,Od18Yg,2024-09-18 11:47:16,Very good,No surprise it is always excellent ,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
5DRAgM,bKVNNg,2024-09-18 11:48:10,Very good,Very good serice lovley stuff and amazing doctor ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PeKq7x,Od18EK,2024-09-18 11:49:32,Very good,"Everything is perfect 
Dr. Kamvari excellent ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
EE9Rqr,218Oyb,2024-09-18 11:50:42,Good,"Dr. Arash Kamvari always listens carefully to the patient and the patient's problems and always considers the best method of treatment. With their patience, accuracy and high experience, they really have a positive effect on the treatment of patients",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
O9ORyg,X1x504,2024-09-18 16:22:33,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
9gq0YG,rG5Vrp,2024-09-19 17:02:50,Very good,"Because everyone is friendly and professional. And the doctors care.
That’s what I have found in over 20 years of being with this surgery ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
MQDjMM,VvQGQN,2024-09-20 14:37:51,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Oelxy8,r28xkM,2024-09-20 14:38:38,Very good,The doctors are responsive and pro active ,The receptionist are also very patient and efficient ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
GjKGez,MvNDPX,2024-09-20 14:56:02,Very good,Always helpful and efficient in assisting me with any ailments. ,None ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
XvJJqg,BAd1z7,2024-09-20 16:30:42,Very good,"Excellent reception, kind doctor who took the time to explain everything clearly ",No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ejQQkO,bKjkr1,2024-09-20 16:34:57,Very good,Was seen promptly and the doctor was friendly and explained everything. He didn’t invalidate my concerns,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
BVdGMe,x4My2y,2024-09-20 17:14:48,Good,Good gp,Shorter waiting for an appointment .,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bEjkRo,01Bvg9,2024-09-20 17:20:22,Very good,It’s amazing when you can get an appointment the same day and be seen by a doctor. ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xLMZgk,qoDKDk,2024-09-20 17:26:17,Very good,Drs are very helpfull and are prompt,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
VBQVMg,BAdQj5,2024-09-20 17:31:29,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
ZL2Deo,VvPNea,2024-09-21 12:31:52,Very good,"Quickly given appointment and issue dealt with same day as I made appointment
Thorough consultation provided ",,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
rbKeB2,581WLv,2024-09-23 11:00:24,Very good,She listened really well to what i had to say and was very nice and gentle when doing my checks ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
DE1LEE,YV56Pd,2024-09-23 11:12:50,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
XvGjaY,4Axg1o,2024-09-23 11:13:58,Very good,I always feel loojed after and reassured. ,"Not really, it’s great anyway",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xLZrOy,NM6rMW,2024-09-23 12:14:57,Very good,Booked an appointment at 8am at was seen by GP at 9.40am. Very good turnaround. ,"Yes, I rang at 8am to see if I could obtain an emergency appointment, after listening to a long winded message (1 min 42 secs) I selected the reception option 2, the message at 8.02 was “I’m sorry there is no one available to take your call” amc I was disconnected! I called back immediately and was 10th in the queue! 
This is frustrating when calling. Especially for a sick child. 

Surely it could be a more concise system and be open at the pre states time of 8am? 

Apart from that, a good system.  
",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PWlvge,aKBNKW,2024-09-23 18:47:38,Very good,I got gp appt within hours of telephoning and she was very caring and helpful ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
6zRMzO,4A2aqB,2024-09-23 19:13:27,Very good,excellent GP,helpful people at the reception,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
