free_text,sentiment_free_text,sentiment_score_free_text,free_text_len,rating_score,feedback_labels,emotion_free_text,label,abs_sentiment
It would be very helpful if I as a long term client could have a general check up once a year This would allow a number of minor concerns to be covered in one visit,positive,0.6143975258,35.0,4.0,Follow-up and Continuity of Care,approval,0,0.6143975258
I have regular appointments at Chelsea and Westminster who prescribe medicines blood tests etc for me I also have medicines prescribed and similar interactions with yourselves It would be much easier if these were coordinated for instance blood tests get duplicated some medicines are available from my local chemists others can only be obtained at the hospital It would be much better if these were coordinated I would also be supportive of proactive patient health care particularly as one gets older and more prone to illness Regular health check ups and tests would prevent illness and save costs in the long run,neutral,0.7342033982,103.0,4.0,Prescriptions and Medication Management,approval,0,0.7342033982
It seems there are too many locums it gets more difficult to see the same GP,negative,0.7585225105,16.0,3.0,Appointment Availability,disappointment,0,-0.7585225105
my doctor is arranging a cataract referral and I m told he will get back to me I m waiting a fairly long time for this to happen,neutral,0.5795482397,26.0,5.0,Waiting Time,neutral,0,0.5795482397
Due to my age I don t use Internet and Scarsdale provides excellent assistance,neutral,0.5125590563,13.0,5.0,Accessibility and Convenience,admiration,0,0.5125590563
Good in clinic facilities and service,positive,0.895238459,6.0,4.0,Treatment Quality,admiration,0,0.895238459
I am extremely confused Do tots keep moving and I have become an object There is no human element left and seems humanity has gone,negative,0.809951901,26.0,,Follow-up and Continuity of Care,confusion,0,-0.809951901
Excellent Service so grateful to everyone at the Violett Melchett Practice,positive,0.9804799557,12.0,5.0,Staff Professionalism,admiration,0,0.9804799557
The only reception staff that is helpful and who goes above her job is PERSON She is the only person that I personally like to deal with I do not think appointments are offered unless you jump through hoops and it depends on the doctor you speak to for a phone consultation often not helpful and their aim is to hang up as soon as possible I have found the most helpful doctors are the partners as they go above and beyond and make you feel that you know everything Back in 2022 I had an amazing doctor who dealt with myself in May and he was outstanding Unfortunately most of the doctors do not listen and just put everyone in the same box,positive,0.6418036222,124.0,1.0,Reception Staff Interaction,approval,0,0.6418036222
My GP is a professional one with a knowledge and empathy Other people are also helpful and nice,positive,0.927241385,18.0,4.0,Staff Empathy and Compassion,admiration,0,0.927241385
Great staff amazing doctors dr butler Robinson Reiss wonderful nurses Mr PERSON fi PERSON,positive,0.9779931307,20.0,5.0,Patient Respect,admiration,0,0.9779931307
First class care from reception doctors nurses and other staff very happy with treatment,positive,0.9745718837,13.0,5.0,Treatment Quality,joy,0,0.9745718837
The front desk staff are dedicated and so good at their job I can t speak more highly about the service they provide and some of the doctors including Doctor PERSON who is currently with the practice have been admirable However there is no consistency and no follow through After being referred to a specialist department for further investigation the box is ticked and the patient is cast adrift and left to sink or swim because unless they make a fuss and pester the practice after the referral they are not contacted again Half the problem is that the doctors are never in the practice for any length of time Just as the patient gets to know a doctor and more Importantly the doctor gets to know the patient and take an interest in them the doctor is moved on and the patient has lost the invaluable link with someone who is familiar with their medical history it is just a conveyor belt of people on the move and the insight and help a doctor can provide through personal knowledge of the patient is lost The thing is not all practices are like this Friends in Forest Gate with a tremendous diversity of patients from all over the world where a team of interpreters is on standby tell me the NHS treatment they receive from their local GP Practice is outstanding and very personal with patients being rung by doctors to see how they are doing and same day appointments are nearly always available,positive,0.7161306143,254.0,,Follow-up and Continuity of Care,neutral,0,0.7161306143
I am happy how my doctor treats me specially doctor PERSON very satisfactory and the receptionist as well thank you,positive,0.9807586074,20.0,5.0,Patient Respect,gratitude,0,0.9807586074
recent visit interaction with reception staff very attentive following up Very good,neutral,0.5635534525,12.0,5.0,Reception Staff Interaction,neutral,0,0.5635534525
recent visit interaction with reception staff very attentive following up Very good,neutral,0.5635534525,12.0,5.0,Reception Staff Interaction,neutral,0,0.5635534525
Waiting area is a bit of a sterile barn uncomfortable too no attempts made to improve it or improve privacy though temperature is better now than when first opened thankfully can still be seen at sub surgery at Earls Court rather than always having to trail down to V M Which is quite an effort 2 buses lot of walking etc We were promised additional facilities services benefits with move not seen any Don t feel at all engaged with practice anymore But level access is good,neutral,0.4900551438,88.0,3.0,Waiting Time,approval,0,0.4900551438
My doctor sent me a text message I wrote a detailed reply only to find the system is just one way and cannot be replied to The only way I seem to get help from the surgery is by going there in person to talk to receptionists,negative,0.8370733261,47.0,1.0,Reception Staff Interaction,neutral,0,-0.8370733261
Excellent practice with helpful and nice front desk staff,positive,0.976647139,9.0,5.0,Staff Professionalism,admiration,0,0.976647139
I do not have enough recent experiences to make a useful comment,negative,0.7366559505,12.0,5.0,Accessibility and Convenience,disapproval,0,-0.7366559505
I was not aware that there is a practice website Might be a good idea to send a email or preferable text advertising that online facility,neutral,0.8234368563,28.0,5.0,Communication Effectiveness,realization,0,0.8234368563
I want to make an appointment with Dr PERSON the surgery is supposed to call me back as she only seems to work one day a week but no one calls me back every time I call her appointment book is not open or no one can see her appointments ridiculous I will be moving if this is not resolved before the end of March,negative,0.8159163594,67.0,2.0,Appointment Availability,neutral,0,-0.8159163594
PERSON u think we as a patients know everything you do and we can second guess all your protocols and processes When asked we are belittled and dismissed Patronising,negative,0.7719137073,28.0,2.0,Patient Education and Information,neutral,0,-0.7719137073
The doctor was kind and showed care Hope I will sort out my current issue strong and persistent cough as soon as possible,positive,0.7729660869,21.0,5.0,Patient Respect,optimism,0,0.7729660869
I have had huge difficulties getting through to the surgery always,negative,0.8734713197,11.0,1.0,Waiting Time,sadness,0,-0.8734713197
90 of the time I always speak to someone quickly who gives me a lot of time and talks me through my issues I seem to have a lot at the moment so can t thank the drs who work here enough have really helped me,positive,0.8787631392,46.0,5.0,Staff Empathy and Compassion,gratitude,0,0.8787631392
Other than picking up treaties option I have not had reason to use the services so cannot offer a considered opinion,negative,0.6866744757,21.0,3.0,Accessibility and Convenience,disapproval,0,-0.6866744757
It is so hard to get through on the phone so hard to make appointments if there are any appointments at all all in all very very low score Even when you do get through the assistance provided is not great and even the facilities provided by GP s etc is not great as everything is so rushed and no one has any time I guess you guys need a lot more funding and a lot more resources I am sure everyone is trying their best but the service is lacking in so many ways,negative,0.9288098216,94.0,2.0,Appointment Availability,disappointment,0,-0.9288098216
The huge improvement since the practice moved,positive,0.9640934467,7.0,4.0,Follow-up and Continuity of Care,approval,0,0.9640934467
The staff are very helpful and kind,positive,0.964484632,7.0,4.0,Staff Professionalism,admiration,0,0.964484632
I don t have any problem at the moment with the Reception and the staff thank you,neutral,0.5094975829,16.0,4.0,Reception Staff Interaction,gratitude,0,0.5094975829
I donâ€™t have any problem at the moment with the Reception and the staff thank you,neutral,0.4959498644,16.0,5.0,Reception Staff Interaction,gratitude,0,0.4959498644
I have been very impressed by the quality and professionalism of the surgery All the patient facing services have been excellent and I ve been singing the praises of the practice,positive,0.9836138487,29.0,5.0,Treatment Quality,admiration,0,0.9836138487
It took over a month to make the appointment for a 24 hour blood pressure monitor as there were no available appointments before I asked over the phone for more details about how to use the device and none were given I was not sent an information document nor referred to somewhere I could find more information I was not told what to wear I was told to continue doing everything normally which is not the case If you are walking when it goes off or stretching your arm is reads an error and retakes the reading 1 2 minutes later This basic information could have been provided to me In the end I googled how to use it and found and information leaflet from another UK practice and followed their guidelines All in all I would suggest you look into providing patients with more information about what to wear not being able to shower while it is on not being able to change clothes and also how to use the machine and that it keeps you awake all night as it goes off every hour so be prepared to be really tired the day after All of this information is required and needs to be provided Even just a link or QR code to an online document with all the details would be great When I handed the machine back after the 24 hours I was given no further information regarding the results who would be contacting me if anyone is contacting me how they will contact me etc,negative,0.7522847056,259.0,1.0,Patient Education and Information,neutral,0,-0.7522847056
Any time I need to make an appointment for what ever problem I have I usually get an appointment within a few days and the results I get from the appointment is very informative and helpful I come away satisfaction that I got good service,positive,0.8684164882,45.0,5.0,Appointment Availability,admiration,0,0.8684164882
Once you get to see or speak to a Doctor they are always without fail very professional kind and approachable The process of getting an appointment however is Byzantine and frustrating Appointments before and after the working day or on Saturday are not possible and Patchs and the website are often clunky and unworkable The Reception staff and the Practice Nurse are also wonderfully helpful and a pleasure to interact with,positive,0.7400669456,71.0,4.0,Staff Professionalism,annoyance,0,0.7400669456
1 Did not have a scheduled GP appointment in the past 2 weeks so the record that resulted in the invite to submit this feedback is incorrect 2 Difficult to get appointments when required 3 See random GPs at appointment and they have no knowledge of medical history no ongoing relationship with patients 4 The last two times I was invited for a flu vaccine and for a BP check was so last minute it was clear the invite was because of a cancellation In both cases there has been no further invite which indicates this was a tick box exercise,negative,0.782669127,102.0,1.0,Appointment Availability,neutral,0,-0.782669127
My interaction with staff and the doctors at the surgery has always been professionally great understanding and respectful,positive,0.954743266,18.0,5.0,Staff Professionalism,admiration,0,0.954743266
My husband and I are pretty useless at tech stuff therefore we come in and make an appointment and then the response is brilliant I wish that everything is NOT computer access as I do not own a computer and never intend to Anyone over 63 4 has not been taught tech stuff at school and it s quite extraordinary that the world thinks we oldys know how to tackle websites I don t I never will and I never intend to,negative,0.8476919532,82.0,5.0,Appointment Availability,desire,0,-0.8476919532
Your outgoing message is much too long If I were holding a fevered baby and had a crying two year old clinging to my legs I would be angry at being told to treat you with courtesy and to use your website In a worried state I wouldn t be an able to navigate your website or any other My only appointment in a long time was in January this year for bronchitis I was seen by a doctor I had never heard of who prescribed Amoxicillin After seven days on this I was in a worse state and several friends told me it always was a useless antibiotic A private doctor then put me on Zithromax for five days which finally had an effect I conclude that Amoxicillan must be the cheapest antibiotic but a false economy which set back my recovery Fortunately I have not yet had to experience being told I can have an appointment in two weeks time When one knows one needs attention this is untenable PERSON 15 01 1939,negative,0.8886404037,174.0,3.0,Follow-up and Continuity of Care,nervousness,0,-0.8886404037
Kind and alway trying the best way to resolve any issue at anytime and available,positive,0.734179318,16.0,5.0,Staff Empathy and Compassion,neutral,0,0.734179318
It would be helpful to arrange appointments on line,neutral,0.7335432172,9.0,5.0,Accessibility and Convenience,approval,0,0.7335432172
I was told by a receptionist that long delays getting through on the telephone was typical today She cited British Gas as an example If that s your comparison you are not aiming high The website does not allow access to ask for appointments at the weekend Why,negative,0.7972511649,47.0,3.0,Reception Staff Interaction,neutral,0,-0.7972511649
It s been a while since I phoned the practice so I m not entirely sure how easy or not it is I do like the online assessment though that saves a lot of time and unnecessary travel,negative,0.5271689296,36.0,5.0,Follow-up and Continuity of Care,confusion,0,-0.5271689296
The staff are efficient friendly and helpful,positive,0.9577535391,7.0,5.0,Staff Professionalism,admiration,0,0.9577535391
I do sometimes have issues getting through and or getting people to get back to me I understand the practice is busy but so am I very so it can be frustrating I have given up on occasion and just gone to the pharmacy for their opinion once with a skin issue another with Covid,negative,0.832844317,56.0,4.0,Prescriptions and Medication Management,annoyance,0,-0.832844317
It is never possible to see the same GP the practice has become too large lots of locum doctors I miss the old Redcliffe Surgery when a patient could see the same doctor and the team was smaller,negative,0.724974513,41.0,3.0,Follow-up and Continuity of Care,disappointment,0,-0.724974513
had good service so far Bus Stop nearby,positive,0.9574483633,8.0,4.0,Accessibility and Convenience,admiration,0,0.9574483633
My only comment would be the length of waiting time to get through to the surgery by telephone for any initial enquiry,neutral,0.610445857,22.0,5.0,Waiting Time,neutral,0,0.610445857
I cannot think of anyway i could i suggest any improvements,negative,0.5456749797,12.0,5.0,Environment and Ambiance,neutral,0,-0.5456749797
At the VM Hub lovely people all round Online nightmare My GP excellent But so many different people and methods of communication its not easy trying to remember instructions and information and my friends of similar and younger age find they just give up on attending to health matters,positive,0.5098497272,49.0,4.0,Communication Effectiveness,admiration,0,0.5098497272
Very happy overall with everything and lovely new site,positive,0.9862739444,9.0,5.0,Follow-up and Continuity of Care,joy,0,0.9862739444
Front desk staff Very good waiting time fine and technician who took tests also very pleasant,positive,0.9073693752,16.0,5.0,Waiting Time,neutral,0,0.9073693752
I object strongly to having to explain my symptons to a receptionist What happened to patient confidentiality,negative,0.8406898975,17.0,4.0,Reception Staff Interaction,disapproval,0,-0.8406898975
I was disappointed as made an appointment and made sure on the phone if the nurse could do the injection When I got there she said I had to bring with me my prescription what was never the case for over a year Waisted a whole day and thatâ€™s the second time The communication between the staff get lost or there is none,negative,0.8788926005,66.0,4.0,Follow-up and Continuity of Care,disappointment,0,-0.8788926005
Right now I could use a referral to go do the Mri if that s possible for my wound it will be much appreciated in East Acton local Hospital instead of other places And a repeat precription I will like as it s finished now is>Gauze Swabs and Unadine dressing I ran out of is the prescriptions I require repeat at the stage and I ve been to my local chemist And they say only Drs surgery can order it and send it to them for me to pick up,neutral,0.5363782048,87.0,4.0,Follow-up and Continuity of Care,neutral,0,0.5363782048
Health Partners greatest asset is that it genuinely cares for its patients,positive,0.902922511,12.0,5.0,Patient Respect,caring,0,0.902922511
Apart from going to the surgery hanging on the phone is the only way to contact anyone The website only allows repeat prescriptions,negative,0.7729149461,23.0,3.0,Accessibility and Convenience,neutral,0,-0.7729149461
Not happy about constant reminders to patients about respecting our staff as though this is going to apply to all your patients before we ve even opened our mouths What about your staff being more responsive and respecting patients I have witnessed that previous receptionists had a reputation of being quite rude They need better training,negative,0.8732185364,55.0,3.0,Reception Staff Interaction,annoyance,0,-0.8732185364
Generally Very good I have no problems with the service,neutral,0.4746147096,10.0,5.0,Patient Respect,neutral,0,0.4746147096
I m still waiting to hear back from Dr PERSON following on from my visit on 5th February Otherwise I m very happy with your service Thanks regards PERSON,positive,0.8357913494,29.0,4.0,Waiting Time,gratitude,0,0.8357913494
Change Grow Live addiction psychiatrist saw me nov 23 she asked the GP to refer me to the CMHT and I know I had just seen CMHT for 5 weeks although in reality it was phone calls once a week and a face to face session on discharge so I understand why Dr PERSON s letter was not acted upon but I feel that I need to be put either in supported housing immediately or fast tracked sheltered accommodation I do not feel safe Various celebrities and poss org crime gangs want to hurt me I feel I am being followed to the gym and out and about I have hostile ads e g bleparoplasty ads and boiling kettles being poured over cars ads My delusional disorder may have led certain celebrities described in scanned letter to psych in sept 23 and org crime gangs to want a contract on me or to do a GBH on me Please refer me to supported housing immediately or fast track to anchor housing or London Cyrenians or some such org accommodation not far from my husband either in K and C or in a neighbouring borough like H and F Westminster Wandsworth etc with perhaps a guest suite so he can stay overnight Your GP service is generally good but the letter from dr PERSON in nov 23 should be actioned on When we visit our son in hospital once month I believe we are being followed up there and I am at risk this is urgent,neutral,0.5162288547,253.0,5.0,Follow-up and Continuity of Care,neutral,0,0.5162288547
The person who takes bloods is Very good especially as I have a needle phobia,negative,0.788891613,15.0,5.0,Test Results,fear,0,-0.788891613
Sorry to say but one particular receptionist did nothing to help still waiting for a doctor to phone me a week later When I asked for a face to face appointment she said I couldn t Managed to get through via a phone call a day later to PERSON the Manager who was most helpful and I have an appointment on Friday,negative,0.8826494813,62.0,4.0,Reception Staff Interaction,remorse,0,-0.8826494813
Very difficult to contact the surgery It seems impossible to get through by phone and the website forms are convoluted and cumbersome and not always the answer to the question,negative,0.9151321054,31.0,5.0,Surgery Website,confusion,0,-0.9151321054
Possibly a slightly updated reception area,neutral,0.8670149446,6.0,5.0,Accessibility and Convenience,neutral,0,0.8670149446
Since the Redcliffe Surgery moved to Violet Melchett I have not actually used the GP Practice hence my responses to this questionnaire as I have no experience on which to form a judgement,neutral,0.740526557,33.0,3.0,Follow-up and Continuity of Care,neutral,0,0.740526557
The phone system is STILL random you often have no idea where you are in the queue number ie number 2 or 44 This is rubbish Too many mistakes from the reception personnel too many mistakes from health assistants who never introduce themselves too many differences between what a doctor says and a dedicated society advises ie the Diabetic Society or British Heart Foundation I am not alone in these thoughts even if people don t take the time to inform you Would not ever recommend this practice to anyone have a look at some of the Google reviews,negative,0.901486814,98.0,1.0,Reception Staff Interaction,disapproval,0,-0.901486814
I m getting used to the new location of Redcliffe Surgery and the online booking system,positive,0.719396174,15.0,5.0,Accessibility and Convenience,neutral,0,0.719396174
I have been living in the borough and with Redcliff surgery and now Health partners for almost 20 years and I DO NOT HAVE A DIRECT GP TO COMMUNICATE WITH the high turnover of doctors doens t help Please provide some point of contact for older residents who require some more personalised contact thank you,negative,0.816999197,54.0,3.0,Follow-up and Continuity of Care,gratitude,0,-0.816999197
Iâ€™m getting used to the new location of Redcliffe Surgery and the online booking system,positive,0.677171886,15.0,4.0,Accessibility and Convenience,neutral,0,0.677171886
Staff are not customer focus Reception are very unhelpful and rude My carer went into the practice for me and the reception just looked at him without saying anything He then had to ask for assistance,negative,0.9004228711,36.0,2.0,Reception Staff Interaction,annoyance,0,-0.9004228711
I think the reception area desk needs to be more private often there are people next to you as you talk,neutral,0.7540380955,21.0,4.0,Reception Staff Interaction,neutral,0,0.7540380955
I did not use the phone to make an appointment so my answer to the telephone question is not relevant I used patches which was excellent,neutral,0.5285657644,27.0,5.0,Follow-up and Continuity of Care,admiration,0,0.5285657644
It has taken me over 30 mins on hold to speak to a receptionist I have to go in person to the centre if I need to speak to someone that s quicker than trying by phone Whilst I can manage the online patchs system I m sure older patients have an absolute nightmare with it That said often patchs is unavailable and I think it should be possible to submit a request 24 7 and not have the system so frequently closed finally I was upset at my recent smear test Just after the test was completed as I was talking to the nurse by her desk a male dr knocked on the door and came straight in without waiting for a response Had he done that just a few minutes earlier I would have been mid test The nurse said she had locked the door but this hadn t been done I don t think it s acceptable that if a nurse or dr is with a patient that the appt is interrupted the dr only wanted a blood pressure arm band and if that had happened during my test I would have been furious and made a formal complaint However your out of hours system is excellent and being able to see the out of hours doctors over the weekend is fantastic The option of smear test blood test and more besides over the weekend is brilliant And PERSON on Reception is lovely so kind helpful and efficient The issue is getting through on the phone trying to secure a doctor appt in the first instance and for older patients having to navigate everything online,negative,0.828094482,275.0,4.0,Reception Staff Interaction,admiration,0,-0.828094482
I do need priority appointments because of my condition I now find they are harder to make and adjust,negative,0.5528129935,19.0,5.0,Appointment Availability,neutral,0,-0.5528129935
I have not needed to use the new surgery apart from a flu vaccine,neutral,0.671645463,14.0,4.0,Vaccinations,neutral,0,0.671645463
I find the text replies to for example blood test results too brief,negative,0.5292734504,13.0,4.0,Test Results,neutral,0,-0.5292734504
I have recently moved to the area from Australia and registered at this practice I was needed a repeat prescription for a medication I have been on for around 5 years I was given a phone appointment which is ok however as I have never been to the practice nor ever been to a gp in the uk I was expecting to have an in person appointment I was lucky to get a same day phone appointment The problems started while on the phone to the gp stated they don t often prescribe the medication I am usually on but could give be a months dose and gave me a list of alternative medications My concern is that this medication is an antidepressants that I have been stable on for 5 years From my understanding the practice and gps do not want to prescribe me the medication as it cost the practice more than alternatives which have not worked for me the past The gp is putting their need wants ahead of the patient that they are meant to be caring for If the practice refuses to continue to prescribe this medication for me I will have to look into a private go which as a nurse working in the nhs is not an sustainable option for me,neutral,0.7320456505,217.0,2.0,Prescriptions and Medication Management,neutral,0,0.7320456505
I would welcome more continuity of care and ideally knowing one doctor as my doctor though I am of course ignorant of the recent constraints upon that,positive,0.5043932796,28.0,5.0,Follow-up and Continuity of Care,approval,0,0.5043932796
Website has been difficult but think getting better,neutral,0.4324575365,8.0,4.0,Accessibility and Convenience,approval,0,0.4324575365
Why does it take so long to see someone,negative,0.7921955585,9.0,3.0,Follow-up and Continuity of Care,neutral,0,-0.7921955585
Your GP s say they will follow up but never do I have been trying with both GP and Cardiologist to get a replacement for Hydrochlorthiazide 25mg tablet that your pharmacist will no longer prescribe as it costs the NHS too much money since around September 2023 It is now 29 February 2024 after repeated calls messages in person requests at surgery from myself and with just two weeks remaining of the aforementioned tablet and NO WORD FROM EITHER GP OR CARDIOLOGIST as to which replacement tablet I should be on,negative,0.8132733703,90.0,1.0,Follow-up and Continuity of Care,neutral,0,-0.8132733703
I have very recently changed practices from this clinic because of rather poor service all round,negative,0.9134114385,16.0,1.0,Treatment Quality,neutral,0,-0.9134114385
overall the service is good moving the surgery has been challenging due to the time it takes to get there now used to be 10 mins its now 50 mins,neutral,0.410550445,31.0,3.0,Waiting Time,admiration,0,0.410550445
I haven t really booked any appointments over the phone nor visited my GP practice since it relocated I ve only been once but appointments dates were sent to me online and i just picked a date,neutral,0.7710914016,35.0,4.0,Appointment Availability,neutral,0,0.7710914016
It would be very useful to have a What s app number So then we can get in touch easier having 2 options telephone and what s app Thank you PERSON,positive,0.5950506926,30.0,5.0,Accessibility and Convenience,gratitude,0,0.5950506926
I m happy with the GPs and overall standards of care Recent experiences of arranging appointments have improved but generally the administration is still appalling There are multiple access channels some of which are no reply forcing me back to the phone I use the NHS app but it feels hit and miss whether I will be able to do things on the app often I get messages to say your practice does not support x Appointment calendars only look 2 weeks ahead and get fully booked up so I get told to ring back in a week that is insane I get sent appointments for things I never asked for eg tests at times I can t make but no means of referring back so the time just gets wasted I get sent appointments for things I do want at times that suit you but not me so even more time is wasted I know you are not stupid people so I have to conclude that you the partners are not really focused on the needs of your patients or if you are then you are unwilling to confront the poor performance of your practice managers,neutral,0.402108222,195.0,4.0,Appointment Availability,disappointment,0,0.402108222
As a person how is very hard of hearing I would like to be able to respond to a Doctor s or Staff Member s text as often there is no option to do this,negative,0.7340574265,33.0,5.0,Accessibility and Convenience,desire,0,-0.7340574265
I have difficulty generally with technology hence my preference to speak to a human being,negative,0.5630753636,16.0,4.0,Patient Respect,neutral,0,-0.5630753636
make is simple to change an appointement online to be able to go straight there without listing so much information + ensure that when an appointment is changed and the location changes with it thats its highlighted on the call not just there on the text one assumes otherwise its alway going to be the same location,neutral,0.8543128371,60.0,5.0,Accessibility and Convenience,neutral,0,0.8543128371
I find my GP to be horrendously unprofessional and untrue to their vow of taking care of patients They refused to see me when I tore my hamstring and was told to just rest and take medicine Absolutely horrified that they can call themselves doctors My hamstring is still in bad condition Shame on all of you,negative,0.9467414021,57.0,2.0,Prescriptions and Medication Management,fear,0,-0.9467414021
I needed to send an email to the administration team and it was impossible There is not working email in the website to be seen The website and the new system are labyrinthic and inflexible This used to be a fantastic practice where patients felt like people This is gone now,negative,0.8886430264,51.0,3.0,Accessibility and Convenience,disappointment,0,-0.8886430264
it is difficult see the doctor in person,negative,0.6974411607,8.0,4.0,Appointment Availability,neutral,0,-0.6974411607
You keep calling and messaging me about things that we have discussed arranged or sorted out previously That s a waste of time and very annoying Your communications with hospitals NHS trusts outside your own area is awful,negative,0.9298686981,36.0,1.0,Communication Effectiveness,annoyance,0,-0.9298686981
Gone are the days when one could see the GP on the day one needs One dreads being ill,negative,0.6648019552,19.0,3.0,Appointment Availability,sadness,0,-0.6648019552
Gone are the days when one could see the GP on the day one needs One dreads being ill,negative,0.6648019552,19.0,4.0,Appointment Availability,sadness,0,-0.6648019552
Staff always friendly and eager to help although I haven t required much attention recently,positive,0.7419322729,14.0,5.0,Staff Professionalism,neutral,0,0.7419322729
Please provide an email for the Surgery if by any chance we want to send you a test result or any other notes instead of calling and waiting 15 minutes for someone to answer,neutral,0.8005692363,34.0,4.0,Accessibility and Convenience,neutral,0,0.8005692363
Please provide an email for the Surgery if by any chance we want to send you a test result or any other notes instead of calling and waiting 15 minutes for someone to answer,neutral,0.8005692363,34.0,4.0,Accessibility and Convenience,neutral,0,0.8005692363
The GP has been very accommodating to my needs especially my mental health needs I get advice and phone calls catching up,positive,0.8504658341,22.0,5.0,Follow-up and Continuity of Care,approval,0,0.8504658341
Using the nhs booking system is bad I use computers all the time but found this app Good,negative,0.916151762,19.0,5.0,Accessibility and Convenience,disapproval,0,-0.916151762
I received a text requesting I take a blood pressure reading I don t have the necessary equipment at home so rang the surgery and was told that a machine was available if I called in The receptionist I saw was very helpful explained how to use the machine and I was able to take the reading there and then A smooth and efficient visit to the surgery,neutral,0.6749125123,67.0,4.0,Reception Staff Interaction,neutral,0,0.6749125123
Today was a waste of time which is particularly unfortunate as I on crutches The nurse was unable to take any blood for the blood test In addition a receptionist was so rude to me she disturbed patients in the waiting room It would help if you employed competent and polite people,negative,0.9345197082,52.0,2.0,Reception Staff Interaction,disappointment,0,-0.9345197082
Seems as though there is a lot of staff to staff miscommunication which is unsettling as a healthcare worker from the USA myself I was bothered incessantly about making a cervical smear test on multiple occasions although I m currently pregnant and it s not recommended but I was urged to come in to the clinic anyway One hand there doesn t know what the other is doing I was told to have our 3 year old come in for a routine vaccine check up with the GP as we recently moved from the USA but the vaccine nurse wasn t available that day and had to come in a separate day later for the vaccines Disorganized and the staff clearly doesn t communicate with one another nor do they have a lot of foresight regarding urging me to having a cervical smear while pregnant,negative,0.7581156492,139.0,3.0,Vaccinations,disappointment,0,-0.7581156492
It would help if the practice could email me the same messages the hospital sends me in plain emails where I don t have to sign in Also could I book a a pvc you have written to me about that and PSA appointment at the practice for the 29 of March in the afternoon Please confirm by email if it s possible and thank you,neutral,0.7385339141,65.0,5.0,Vaccinations,gratitude,0,0.7385339141
I am disappointed with the service most appt are on the phone and no tst results are followed up Almost 3 months to get results from a test and get an appt to see a doctor Good,negative,0.9255544543,37.0,1.0,Test Results,disappointment,0,-0.9255544543
Difficult questions as I m disabled and cannot attend the surgery so depend on the odd home visit but these are only temporary Doctors and Carers and leave after a few weeks,negative,0.6650221348,31.0,4.0,Follow-up and Continuity of Care,neutral,0,-0.6650221348
The reception are always very lovely on the phone I have had a doctor on the phone he was very helpful I have had a lady Doctor on phone also very helpful I had my second jab for my cholesterol with mr PERSON ha l Who I may say is the best person in all the yrs I have had this from the age of 30 something I could not feel anything at all he is wonderful,positive,0.9750110507,78.0,5.0,Reception Staff Interaction,admiration,0,0.9750110507
Difficult questions as Iâ€™m disabled and cannot attend the surgery so depend on the odd home visit but these are only temporary Doctors and Carers and leave after a few weeks,negative,0.7049547434,31.0,5.0,Follow-up and Continuity of Care,neutral,0,-0.7049547434
I barely use the NHS I am ominously healthy but so far it has been just fine,positive,0.6650055051,17.0,5.0,Patient Respect,approval,0,0.6650055051
Employ people who want to see patients On the phone you do not resolve cases,neutral,0.538844049,15.0,2.0,Appointment Availability,neutral,0,0.538844049
I have had occasion to visit 3 different hospitals in the last month and in all cases they have been unable to find you as a practice You seem to have more than one name which is incredibly confusing,negative,0.8037467003,39.0,4.0,Communication Effectiveness,confusion,0,-0.8037467003
I just go in person to make appointments As it s much easier,positive,0.5044406652,12.0,5.0,Accessibility and Convenience,neutral,0,0.5044406652
I just go in person to make appointments As itâ€™s much easier,positive,0.4952186644,12.0,4.0,Accessibility and Convenience,neutral,0,0.4952186644
I have now wasted 10 NHS appointments being referred to the wrong people This is an appalling waste of money and 6 months later I still havent seen someone who can simply do something about my feet If I ran my psychotherapy practice like this not only would I be out of business but my clients would have suffered abominably,negative,0.9523273706,60.0,2.0,Appointment Availability,disappointment,0,-0.9523273706
Actually my recent visit was on time,positive,0.8785781264,7.0,4.0,Follow-up and Continuity of Care,neutral,0,0.8785781264
In January I was seen at Earls Court Medical Centre the day after my call and prescribed antibiotics for a chest infection,neutral,0.8832712173,22.0,4.0,Prescriptions and Medication Management,neutral,0,0.8832712173
I did chest X ray last year on October the hospital said they sent the result to my GP but the GP said they didn t have any as a result it is lost Wasted my time and can t fixed my problem,negative,0.8696699739,40.0,2.0,Test Results,neutral,0,-0.8696699739
I am immobile as awaiting for hip replacement which gets more painful every day Please hurry it up as my life is ruined at the moment,negative,0.9360350966,26.0,3.0,Waiting Time,sadness,0,-0.9360350966
Make sure appointments are not mixed up with wrong nurses,neutral,0.6314985156,10.0,4.0,Appointment Availability,neutral,0,0.6314985156
I find the only satisfactory way to make an appointment is to go to the surgery in person I have tried booking through Patches and receive a text message saying I should call by phone to make an appointmant,negative,0.713427484,40.0,4.0,Appointment Availability,neutral,0,-0.713427484
The Team is very attentive the secretaries are vet nice and the GP really take care of you I had many request due to private fertility treatment and Orthopedic injuries and the Team helped me and supported me as fast as they could I can only thank them for their help and professional care,positive,0.8997419477,54.0,5.0,Staff Professionalism,gratitude,0,0.8997419477
Dr PERSON was great She was very helpful and proactive,positive,0.9686847925,10.0,5.0,Staff Professionalism,admiration,0,0.9686847925
